ticker,start_time,mcap,24hVol_20260128,history_days
ALPINEUSDT,2025-05-06,,643098.13699,267.0
STEEMUSDT,2023-11-08,,631889.53901,812.0
CARVUSDT,2025-08-07,,623692.7758,174.0
MAVIAUSDT,2025-03-26,,620485.46897,308.0
ACXUSDT,2024-12-06,,610961.37006,418.0
ARKUSDT,2023-09-19,,609887.4847,862.0
GHSTUSDT,2024-09-23,,602049.2901,492.0
FORTHUSDT,2025-04-08,,587794.217,295.0
KOMAUSDT,2024-12-10,,585553.36641,414.0
UBUSDT,2025-09-12,,574159.08873,138.0
DAMUSDT,2025-08-18,,570901.01225,163.0
CVCUSDT,2025-05-16,,564005.18259,257.0
AWEUSDT,2025-05-21,,549293.60369,252.0
BNTUSDT,2023-08-10,,518514.6001,902.0
OXTUSDT,2023-08-11,,515852.41949,901.0
AERGOUSDT,2025-04-16,,503559.16729,287.0
FIOUSDT,2024-09-20,,483926.34986,495.0
CTKUSDT,2025-04-30,,478246.9958,273.0
1000000BOBUSDT,2025-06-05,,474310.2362,237.0
SYSUSDT,2024-08-19,,469622.27877,527.0
CHESSUSDT,2024-08-29,,435421.80609,517.0
BROCCOLIF3BUSDT,,,427697.762072,
TAGUSDT,2025-07-25,,425895.5632633,187.0
COSUSDT,2024-09-30,,422760.116446,485.0
SKYAIUSDT,2025-05-13,,419503.91482,260.0
B3USDT,2025-02-13,,414397.794862,349.0
